117,3
260,6
189,2
102,1
19,3
304,6
272,1
390,6
230,1
255,5
255,1
272,2
234,5
306,3
460,4
418,4
297,6
187,2
442,6
102,3
338,3
209,2
475,6
130,1
273,4
91,1
299,4
104,2
437,4
195,6
357,5
459,4
76,3
418,2
391,3
351,4
54,1
38,3
65,2
418,4
189,1
38,2
169,2
119,2
234,5
209,2
26,2
209,2
216,2
357,5
130,1
260,4
289,2
322,3
130,1
429,5
85,1
338,6
161,1
138,1
432,4
323,5
91,4
299,3
234,4
442,5
52,2
190,2
289,5
253,1
119,3
364,6
95,5
247,2
51,2
23,1
338,3
276,1
108,2
459,3
351,6
475,6
345,3
19,2
81,3
221,2
17,2
286,4
216,1
312,6
455,6
247,3
361,4
161,3
115,2
208,1
418,2
325,4
299,4
289,5
57,3
432,6
380,4
190,4
270,1
95,3
95,4
273,3
442,5
156,2
13,2
46,2
152,4
54,2
247,3
416,3
138,2
351,5
299,4
243,3
221,3
247,5
115,1
171,5
46,3
351,5
170,3
323,2
171,2
391,4
390,3
442,6
425,3
322,3
133,1
38,2
153,1
253,1
102,1
299,4
342,2
138,2
119,3
272,5
184,4
418,2
460,6
378,5
442,5
156,1
408,5
91,3
289,5
19,3
475,4
322,4
345,3
455,6
57,5
425,4
34,1
187,2
13,2
102,3
26,1
190,1
187,1
153,3
323,5
437,6
368,6
104,2
304,6
81,1
475,4
27,3
228,4
364,3
286,3
322,4
304,6
425,3
81,3
209,2
34,2
243,6
357,4
247,2
182,4
273,3
306,4
68,1
115,4
345,4
189,3
247,4
153,4
69,3
403,5
65,2
414,6
442,6
208,1
17,4
418,2
391,6
456,3
143,5
260,6
351,5
325,1
361,6
136,1
54,2
184,2
377,6
323,4
85,2
136,2
216,1
238,3
57,5
78,3
323,5
156,1
322,5
13,3
459,4
361,3
135,1
187,5
340,4
340,4
92,3
184,5
456,5
351,6
117,1
228,5
17,1
104,2
204,3
34,1
342,1
153,3
27,3
299,3
442,6
76,1
338,3
234,6
51,3
425,3
391,2
238,5
78,3
297,4
324,3
204,2
54,2
171,2
195,3
104,2
104,2
230,2
135,2
23,4
325,6
297,5
81,1
304,6
92,2
234,5
138,2
195,5
65,1
162,3
208,1
54,4
19,1
323,4
17,2
323,5
429,6
408,5
374,6
161,4
221,5
437,6
460,3
221,2
85,2
286,3
114,1
65,2
136,2
17,2
272,5
432,6
108,3
342,6
456,3
340,3
169,5
399,3
325,6
92,3
325,6
208,1
425,5
114,1
247,3
170,2
119,4
391,6
234,5
238,4
260,2
299,6
390,1
102,1
368,6
338,3
391,3
92,3
69,3
76,3
162,2
68,2
152,6
272,1
156,5
38,1
243,4
234,5
342,1
322,4
408,5
52,1
119,2
351,6
221,3
19,1
187,4
26,2
130,1
399,3
221,3
184,5
475,6
27,4
204,4
156,3
416,3
207,3
13,3
92,1
364,6
114,3
270,5
340,3
323,4
289,6
46,1
17,4
432,6
247,4
414,4
221,5
260,5
273,2
285,2
221,5
324,5
342,6
361,3
460,6
85,2
208,2
260,1
54,3
408,5
299,2
312,5
51,1
243,5
171,5
429,4
161,2
253,2
399,6
133,2
156,4
403,5
51,1
68,1
208,2
340,6
368,5
204,5
306,3
459,4
102,4
442,5
272,5
117,1
104,2
208,1
468,6
459,3
108,3
345,4
460,6
78,2
364,3
468,5
38,2
136,1
81,2
418,5
161,4
136,1
228,3
209,1
57,3
351,6
432,6
209,3
54,2
468,4
135,1
34,3
345,3
13,2
323,3
57,4
437,5
230,4
221,5
52,3
455,3
136,1
299,6
324,6
324,6
364,4
170,1
46,2
26,1
266,6
429,4
273,4
65,1
187,1
460,3
182,4
162,4
115,1
429,6
130,1
169,3
403,4
27,2
456,6
368,6
69,3
162,2
204,4
161,2
207,3
189,3
377,6
135,1
378,6
378,4
437,6
475,5
391,6
91,1
221,3
195,6
216,1
91,2
39,1
368,5
234,5
169,4
38,2
390,2
57,4
46,2
437,6
338,2
234,5
377,6
459,5
209,2
429,5
52,2
143,2
34,3
136,1
338,5
104,2
253,3
299,6
221,1
459,3
13,3
391,3
38,2
286,2
345,4
399,1
297,5
170,1
108,1
403,5
270,2
414,6
437,4
437,5
78,3
207,2
270,1
357,4
230,3
182,1
408,5
475,3
351,6
270,1
209,2
456,4
299,2
26,1
377,3
399,6
276,3
76,2
170,1
228,4
221,3
361,5
81,1
364,6
414,6
19,4
351,4
52,2
23,3
234,5
403,5
187,1
195,6
108,3
161,1
136,2
405,3
65,2
377,6
432,5
51,2
138,1
115,2
69,3
184,3
238,6
260,5
342,2
364,3
91,2
162,2
133,2
323,4
171,4
408,5
391,3
76,1
299,3
247,2
39,2
209,2
