325.00,0.51,5.00
442.00,0.54,5.00
260.00,0.50,1.00
368.00,0.52,6.00
460.00,0.54,3.00
468.00,0.54,5.00
253.00,0.55,2.00
351.00,0.50,6.00
270.00,0.52,2.00
115.00,0.52,1.00
299.00,0.52,6.00
442.00,0.52,4.00
405.00,0.54,6.00
182.00,0.53,4.00
414.00,0.54,5.00
361.00,0.55,5.00
216.00,0.51,1.00
368.00,0.52,5.00
153.00,0.52,5.00
266.00,0.53,5.00
189.00,0.55,2.00
414.00,0.50,4.00
65.00,0.53,1.00
221.00,0.51,5.00
153.00,0.53,3.00
135.00,0.51,2.00
455.00,0.53,6.00
234.00,0.55,5.00
57.00,0.53,5.00
416.00,0.53,3.00
351.00,0.52,5.00
81.00,0.52,3.00
418.00,0.53,5.00
323.00,0.54,5.00
338.00,0.50,3.00
297.00,0.53,6.00
270.00,0.54,1.00
390.00,0.53,6.00
115.00,0.51,2.00
408.00,0.52,5.00
368.00,0.51,6.00
460.00,0.53,4.00
117.00,0.54,1.00
209.00,0.53,2.00
161.00,0.53,1.00
189.00,0.52,2.00
437.00,0.54,5.00
102.00,0.54,1.00
391.00,0.52,6.00
184.00,0.54,2.00
221.00,0.54,3.00
437.00,0.52,6.00
190.00,0.50,1.00
468.00,0.54,5.00
130.00,0.50,1.00
34.00,0.54,2.00
27.00,0.53,3.00
95.00,0.53,3.00
171.00,0.53,3.00
46.00,0.55,3.00
228.00,0.52,3.00
23.00,0.53,4.00
437.00,0.52,6.00
345.00,0.52,6.00
85.00,0.55,1.00
306.00,0.53,3.00
221.00,0.52,2.00
442.00,0.50,6.00
115.00,0.51,1.00
429.00,0.54,4.00
170.00,0.52,5.00
414.00,0.53,3.00
456.00,0.55,3.00
418.00,0.52,2.00
408.00,0.50,5.00
23.00,0.54,3.00
324.00,0.54,6.00
272.00,0.54,1.00
342.00,0.52,6.00
95.00,0.52,4.00
357.00,0.53,2.00
187.00,0.54,1.00
187.00,0.53,1.00
243.00,0.53,6.00
91.00,0.50,2.00
442.00,0.50,6.00
38.00,0.50,2.00
221.00,0.53,2.00
156.00,0.51,5.00
117.00,0.50,1.00
133.00,0.51,1.00
119.00,0.50,2.00
286.00,0.53,2.00
475.00,0.53,6.00
17.00,0.50,2.00
391.00,0.50,2.00
338.00,0.52,3.00
390.00,0.55,3.00
38.00,0.54,3.00
289.00,0.53,5.00
190.00,0.51,2.00
51.00,0.54,2.00
102.00,0.52,3.00
391.00,0.51,4.00
170.00,0.55,2.00
143.00,0.52,1.00
425.00,0.54,5.00
57.00,0.50,4.00
304.00,0.51,6.00
204.00,0.53,5.00
54.00,0.54,2.00
184.00,0.54,1.00
92.00,0.54,2.00
138.00,0.52,2.00
170.00,0.52,1.00
135.00,0.52,2.00
459.00,0.52,3.00
323.00,0.53,3.00
304.00,0.52,6.00
403.00,0.55,6.00
364.00,0.50,6.00
46.00,0.52,2.00
135.00,0.53,1.00
408.00,0.53,5.00
323.00,0.53,3.00
368.00,0.54,6.00
255.00,0.53,4.00
351.00,0.51,6.00
391.00,0.53,5.00
114.00,0.52,4.00
351.00,0.53,5.00
234.00,0.53,6.00
345.00,0.53,3.00
39.00,0.53,4.00
208.00,0.51,1.00
117.00,0.53,1.00
52.00,0.51,1.00
377.00,0.53,5.00
437.00,0.53,6.00
230.00,0.51,5.00
437.00,0.51,4.00
325.00,0.55,6.00
117.00,0.51,3.00
23.00,0.54,4.00
312.00,0.53,6.00
391.00,0.51,3.00
108.00,0.50,1.00
54.00,0.51,3.00
115.00,0.54,2.00
289.00,0.54,2.00
247.00,0.50,1.00
285.00,0.51,3.00
238.00,0.54,4.00
408.00,0.54,5.00
156.00,0.54,2.00
171.00,0.51,5.00
378.00,0.54,5.00
169.00,0.55,4.00
380.00,0.53,4.00
299.00,0.55,4.00
130.00,0.50,1.00
23.00,0.51,1.00
247.00,0.52,4.00
273.00,0.54,2.00
459.00,0.51,2.00
54.00,0.53,1.00
351.00,0.53,3.00
208.00,0.53,1.00
78.00,0.53,2.00
234.00,0.52,5.00
391.00,0.51,6.00
187.00,0.53,1.00
323.00,0.51,2.00
204.00,0.52,2.00
276.00,0.51,1.00
456.00,0.55,5.00
418.00,0.54,4.00
403.00,0.51,5.00
270.00,0.51,3.00
152.00,0.54,4.00
299.00,0.55,2.00
76.00,0.54,1.00
405.00,0.50,4.00
459.00,0.52,3.00
247.00,0.53,1.00
408.00,0.52,5.00
26.00,0.53,2.00
304.00,0.52,6.00
189.00,0.54,3.00
52.00,0.53,2.00
475.00,0.55,5.00
418.00,0.53,5.00
391.00,0.52,4.00
378.00,0.53,4.00
299.00,0.54,4.00
364.00,0.54,4.00
297.00,0.54,6.00
276.00,0.50,1.00
378.00,0.50,6.00
104.00,0.51,2.00
456.00,0.55,4.00
190.00,0.55,4.00
468.00,0.54,6.00
184.00,0.51,4.00
338.00,0.54,5.00
285.00,0.52,3.00
377.00,0.51,6.00
207.00,0.51,2.00
234.00,0.54,5.00
312.00,0.54,2.00
208.00,0.54,1.00
133.00,0.54,2.00
152.00,0.54,4.00
243.00,0.53,6.00
117.00,0.52,3.00
69.00,0.50,2.00
184.00,0.51,5.00
170.00,0.53,2.00
189.00,0.52,1.00
312.00,0.52,6.00
342.00,0.50,6.00
91.00,0.51,1.00
161.00,0.54,1.00
221.00,0.53,3.00
289.00,0.52,6.00
374.00,0.51,6.00
378.00,0.51,5.00
184.00,0.51,5.00
221.00,0.52,3.00
81.00,0.52,1.00
323.00,0.53,5.00
380.00,0.54,5.00
255.00,0.52,1.00
187.00,0.52,4.00
357.00,0.51,5.00
115.00,0.52,2.00
26.00,0.50,1.00
23.00,0.52,3.00
437.00,0.53,4.00
299.00,0.51,4.00
399.00,0.54,6.00
39.00,0.53,3.00
391.00,0.52,6.00
13.00,0.51,1.00
171.00,0.53,2.00
425.00,0.50,3.00
340.00,0.51,3.00
221.00,0.50,5.00
342.00,0.53,2.00
460.00,0.51,3.00
195.00,0.51,5.00
190.00,0.53,4.00
228.00,0.54,5.00
416.00,0.53,2.00
357.00,0.54,5.00
286.00,0.54,3.00
276.00,0.51,1.00
85.00,0.51,4.00
152.00,0.54,5.00
468.00,0.52,4.00
221.00,0.54,4.00
130.00,0.54,1.00
297.00,0.52,2.00
442.00,0.54,5.00
221.00,0.52,5.00
161.00,0.51,4.00
429.00,0.51,5.00
221.00,0.52,5.00
364.00,0.55,3.00
189.00,0.51,3.00
190.00,0.54,1.00
221.00,0.52,5.00
403.00,0.50,4.00
437.00,0.53,5.00
17.00,0.53,2.00
286.00,0.51,1.00
135.00,0.53,1.00
299.00,0.53,4.00
425.00,0.51,3.00
68.00,0.54,2.00
187.00,0.51,1.00
34.00,0.50,1.00
399.00,0.55,6.00
456.00,0.53,6.00
408.00,0.54,5.00
114.00,0.51,3.00
156.00,0.50,4.00
456.00,0.53,5.00
195.00,0.54,3.00
455.00,0.52,3.00
377.00,0.52,5.00
405.00,0.52,4.00
380.00,0.51,4.00
152.00,0.53,2.00
114.00,0.54,1.00
26.00,0.52,1.00
91.00,0.51,3.00
468.00,0.52,2.00
26.00,0.51,1.00
81.00,0.53,2.00
429.00,0.55,6.00
209.00,0.52,2.00
221.00,0.51,3.00
442.00,0.51,6.00
133.00,0.53,1.00
312.00,0.53,5.00
273.00,0.53,4.00
238.00,0.55,2.00
161.00,0.52,2.00
156.00,0.53,1.00
286.00,0.51,2.00
46.00,0.53,2.00
104.00,0.50,2.00
207.00,0.55,3.00
432.00,0.51,6.00
34.00,0.50,1.00
351.00,0.51,6.00
208.00,0.51,1.00
13.00,0.54,4.00
253.00,0.51,2.00
182.00,0.54,3.00
442.00,0.53,5.00
324.00,0.51,6.00
182.00,0.50,5.00
276.00,0.52,1.00
437.00,0.50,6.00
297.00,0.53,4.00
338.00,0.54,4.00
285.00,0.55,5.00
34.00,0.53,1.00
459.00,0.53,4.00
153.00,0.55,2.00
138.00,0.51,1.00
119.00,0.50,3.00
238.00,0.53,6.00
114.00,0.55,2.00
324.00,0.54,1.00
247.00,0.53,3.00
429.00,0.51,5.00
260.00,0.54,4.00
190.00,0.51,4.00
377.00,0.54,5.00
405.00,0.54,6.00
418.00,0.54,2.00
276.00,0.51,4.00
38.00,0.50,2.00
368.00,0.53,5.00
391.00,0.52,5.00
361.00,0.50,3.00
195.00,0.53,6.00
114.00,0.52,4.00
459.00,0.52,3.00
266.00,0.51,6.00
17.00,0.55,2.00
299.00,0.52,6.00
69.00,0.54,1.00
345.00,0.55,4.00
272.00,0.54,1.00
204.00,0.55,3.00
390.00,0.53,6.00
276.00,0.55,1.00
39.00,0.50,3.00
342.00,0.53,1.00
253.00,0.55,2.00
247.00,0.51,1.00
364.00,0.51,3.00
39.00,0.51,2.00
403.00,0.52,5.00
304.00,0.51,6.00
27.00,0.54,1.00
143.00,0.53,5.00
323.00,0.55,4.00
34.00,0.50,2.00
169.00,0.54,4.00
46.00,0.54,3.00
119.00,0.53,2.00
399.00,0.55,3.00
243.00,0.54,5.00
190.00,0.50,1.00
399.00,0.53,5.00
228.00,0.55,5.00
338.00,0.55,6.00
323.00,0.51,3.00
322.00,0.50,4.00
455.00,0.55,6.00
169.00,0.52,5.00
238.00,0.52,6.00
95.00,0.52,4.00
115.00,0.51,1.00
289.00,0.51,6.00
92.00,0.52,3.00
207.00,0.54,2.00
323.00,0.52,5.00
85.00,0.55,2.00
253.00,0.54,1.00
306.00,0.51,4.00
345.00,0.52,5.00
442.00,0.52,6.00
27.00,0.53,1.00
459.00,0.53,2.00
169.00,0.54,2.00
143.00,0.54,2.00
228.00,0.54,3.00
102.00,0.50,3.00
442.00,0.55,5.00
432.00,0.54,6.00
345.00,0.53,4.00
304.00,0.55,6.00
69.00,0.51,3.00
374.00,0.53,5.00
170.00,0.52,1.00
189.00,0.55,1.00
306.00,0.51,4.00
27.00,0.51,4.00
170.00,0.51,4.00
322.00,0.54,3.00
162.00,0.52,2.00
230.00,0.51,6.00
85.00,0.51,4.00
39.00,0.54,1.00
136.00,0.55,1.00
51.00,0.52,1.00
27.00,0.54,1.00
357.00,0.51,5.00
19.00,0.50,3.00
432.00,0.55,5.00
437.00,0.51,6.00
26.00,0.52,2.00
270.00,0.54,1.00
161.00,0.54,3.00
416.00,0.52,4.00
325.00,0.54,6.00
289.00,0.50,5.00
351.00,0.53,5.00
414.00,0.55,6.00
297.00,0.53,4.00
152.00,0.55,2.00
437.00,0.52,5.00
270.00,0.52,1.00
76.00,0.52,2.00
143.00,0.52,1.00
119.00,0.50,3.00
416.00,0.55,2.00
95.00,0.54,2.00
322.00,0.53,3.00
286.00,0.55,1.00
38.00,0.52,3.00
216.00,0.52,2.00
207.00,0.51,2.00
195.00,0.55,6.00
391.00,0.53,4.00
46.00,0.52,2.00
136.00,0.52,2.00
442.00,0.53,5.00
26.00,0.52,1.00
273.00,0.55,2.00
255.00,0.54,4.00
429.00,0.53,5.00
114.00,0.50,3.00
285.00,0.54,2.00
247.00,0.51,2.00
23.00,0.53,3.00
299.00,0.52,3.00
162.00,0.54,4.00
255.00,0.54,4.00
156.00,0.51,5.00
432.00,0.51,4.00
68.00,0.54,1.00
17.00,0.55,4.00
208.00,0.54,1.00
187.00,0.51,4.00
238.00,0.54,4.00
243.00,0.52,4.00
455.00,0.54,6.00
286.00,0.54,4.00
378.00,0.53,6.00
26.00,0.52,1.00
456.00,0.53,6.00
260.00,0.51,4.00
228.00,0.55,4.00
130.00,0.51,1.00
17.00,0.52,1.00
102.00,0.52,3.00
161.00,0.55,1.00
